product_id,name,category,price,width_cm,depth_cm,style,water_usage,water_unit,price_source,dimension_source,water_source
K017,Fore Line™ single-control basin faucet without drain in polished chrome,Faucet,6900.0,13.9,7.5,Minimalist,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K018,Vive™ single-control tall basin faucet without drain in polished chrome,Faucet,8630.0,5.0,15.4,Minimalist,7.0,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K019,Hone single-control basin faucet without drain in polished chrome,Faucet,9250.0,4.7,26.8,Minimalist,15.0,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K020,Aleo™ single-control basin faucet without drain in polished chrome,Faucet,12500.0,14.2,10.1,Minimalist,14.0,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K021,ModernLife Edge™ single-control tall basin faucet without drain in french gold,Faucet,13530.0,20.0,16.0,Luxury,7.6,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K022,Aleo+™ single-control wall mount basin faucet trim in polished chrome,Faucet,20000.0,26.1,4.7,Minimalist,8.7,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K023,ModernLife Edge™ wall mount single-control basin faucet trim in polished chrome,Faucet,24200.0,16.9,22.3,Minimalist,7.6,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K024,Parallel™ single-control tall basin faucet without drain in polished chrome,Faucet,36000.0,23.8,27.3,Modern,8.3,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K025,ModernLife Edge™ single-control tall basin faucet in premium finish,Faucet,36000.0,20.0,16.0,Luxury,7.6,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K026,Daisyfield® showerhead in polished chrome,Shower,1900.0,17.9,9.7,Modern,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K027,Rain Duet™ square 203mm Katalyst™ rainhead in polished chrome,Shower,2500.0,20.3,20.3,Minimalist,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Missing — to be imputed by pipeline
K028,Awaken™ organic multi-mode showerhead with shower arm in polished chrome,Shower,2900.0,12.2,7.6,Organic,17.0,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K029,Statement™ multi function 2.5gpm/9.6Lpm showerhead in polished chrome,Shower,3800.0,16.7,11.0,Luxury,9.6,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K030,Complementary™ single function showerhead in polished chrome with shower arm and flange,Shower,6000.0,9.5,20.2,Modern,23.0,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K031,Rain Duet™ single function organic showerhead with shower arm in polished chrome,Shower,7000.0,20.3,20.3,Organic,9.4,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K032,Rain Duet™ multifunction showerhead without shower arm in polished chrome,Shower,9900.0,20.3,20.3,Minimalist,9.4,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K033,Rain Duet™ round 203mm Katalyst™ rainhead in polished chrome,Shower,8900.0,20.3,20.3,Minimalist,9.4,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K034,ModernLife Single™ single function 330mm x 230mm rainhead in polished chrome,Shower,32500.0,33.0,23.0,Minimalist,10.0,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K035,Statement™ 353mm single function oblong rainhead in polished chrome,Shower,34750.0,35.4,9.5,Luxury,9.5,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K036,Statement™ 353mm deep massage rainhead in polished chrome,Shower,40700.0,33.0,23.0,Luxury,9.5,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K037,ModernLife Edge™ Dual flow hexagonal 425mm x 330mm rainpanel in french gold,Shower,150000.0,42.5,33.0,Luxury,10.5,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K038,"Statement™ Oblong two-function rainhead, 35.3 cm",Shower,80300.0,35.3,35.3,Luxury,9.5,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K039,Forefront™ vanity 600mm in walnut finish,Vanity,,59.9,46.0,Minimalist,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Not applicable — vanity does not consume water directly
K040,Forefront™ vanity 900mm in walnut finish,Vanity,,89.2,51.7,Minimalist,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Not applicable — vanity does not consume water directly
K041,"KOHLER VIVE® Wall-hung round-front toilet with skirted trapway, dual-flush",Toilet,19000.0,,,Minimalist,4.0,L/flush,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K042,"KOHLER VIVE® One-piece round-front back-to-wall toilet with skirted trapway, dual-flush",Toilet,15000.0,,,Modern,4.0,L/flush,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K044,KOHLER VIVE® Wall-hung square-front toilet with skirted trapway,Toilet,29000.0,,,Modern,4.0,L/flush,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K045,KOHLER VIVE® Hidden cord one-piece back-to-wall fully skirted toilet with PureWash® M350 bidet seat,Toilet,31000.0,,,Luxury,4.0,L/flush,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K046,ModernLife Edge™ Wall-hung round-front toilet bowl with skirted trapway,Toilet,47000.0,,,Minimalist,4.0,L/flush,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K047,"Engage™ Single-handle bathroom sink faucet, 5.6 lpm",Faucet,8800.0,,,Modern,5.6,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K048,"Engage™ Single-handle bathroom sink faucet, 10 lpm",Faucet,8800.0,,,Modern,10.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K049,"Engage™ Single-handle bathroom sink faucet, cold only, 12.5 lpm",Faucet,4400.0,,,Modern,12.5,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K050,"Avid™ Single-handle bathroom sink faucet, 7.0 lpm",Faucet,57800.0,,,Modern,7.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K051,"Fluence+™ Tall single-handle bathroom sink faucet, 10.0 lpm",Faucet,16100.0,,,Modern,10.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K052,"Fluence+™ Single-handle bathroom sink faucet, 10.0 lpm",Faucet,12800.0,,,Modern,10.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K053,"Evoke™ Touchless single-handle bathroom sink faucet, 6.0 lpm",Faucet,20600.0,,,Minimalist,6.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K054,"Aleo+™ Tall single-handle bathroom sink faucet, 14.0 lpm",Faucet,18850.0,,,Minimalist,14.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K055,"Aleo+™ Wall-mount bathroom sink faucet, 9.0 lpm",Faucet,26400.0,,,Minimalist,9.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K056,"APT™ Curv Single-handle bathroom sink faucet, cold only, 14.0 lpm",Faucet,2780.0,,,Modern,14.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K057,"APT™ Curv Single-handle bathroom sink faucet, 11.0 lpm",Faucet,5200.0,,,Modern,11.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K058,"Accliv™ Single-handle bathroom sink faucet, cold only, 15.0 lpm",Faucet,3520.0,,,Modern,15.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K059,"Components™ Single-handle bathroom sink faucet with Row spout and Oyl handle, 8.3 lpm",Faucet,39500.0,,,Minimalist,8.3,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K060,"APT™ Rectangular single-function showerhead, 9.5 lpm",Shower,3830.0,,,Modern,9.5,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K061,"APT™ Square single-function showerhead, 9.5 lpm",Shower,3620.0,,,Modern,9.5,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K062,"APT™ Round single-function showerhead, 9.1 lpm",Shower,2890.0,13.0,13.0,Modern,9.1,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K063,"Pristine™ Rectangular 25.4 cm single-function filtered rainhead, 12.0 lpm",Shower,12500.0,,,Minimalist,12.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K064,"Pristine™ Rectangular 20.3 cm single-function filtered showerhead, 12.0 lpm",Shower,6500.0,,,Minimalist,12.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K065,"Rainduet™ Single-function showerhead, 12.0 lpm",Shower,2050.0,,,Modern,12.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K066,"Rainduet™ Single-function showerhead, 17.4 lpm",Shower,3160.0,,,Organic,17.4,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K067,"Rainduet™ Round five-function showerhead, 13.5 lpm",Shower,4000.0,,,Minimalist,13.5,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K068,"Rainduet™ Five-function showerhead, 14.0 lpm",Shower,2350.0,,,Minimalist,14.0,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K069,"Awaken™ B110 Three-function showerhead, 7.6 lpm",Shower,6250.0,,,Organic,7.6,L/min,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,KOHLER product specification
K070,"Complementary™ Single-function showerhead, 23.0 lpm",Shower,3420.0,9.7,9.7,Modern,23.0,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K071,"Complementary™ Single-function showerhead, 7.6 lpm",Shower,1350.0,9.7,9.7,Modern,7.6,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K072,"Statement™ Oblong 35.3 cm two-function rainhead, 9.5 lpm",Shower,80300.0,35.3,35.3,Luxury,9.5,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K073,"Statement™ Oblong 35.3 cm single-function rainhead, 9.5 lpm",Shower,52300.0,35.4,9.5,Luxury,9.5,L/min,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification
K074,Foreward™ 75 cm wall-hung bathroom vanity cabinet,Vanity,71400.0,,,Organic,,,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,Not applicable — vanity does not consume water directly
K075,Forefront™ 90 cm wall-hung bathroom vanity cabinet,Vanity,108150.0,89.2,51.7,Minimalist,,,KOHLER India product page/catalogue,KOHLER technical/catalogue,Not applicable — vanity does not consume water directly
K076,Luxe™ 90 cm wall-hung bathroom vanity cabinet,Vanity,121950.0,,,Luxury,,,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,Not applicable — vanity does not consume water directly
K077,Prologue™ 75 cm wall-hung bathroom vanity cabinet,Vanity,116950.0,,,Minimalist,,,KOHLER India product page/catalogue,Missing — to be imputed by pipeline,Not applicable — vanity does not consume water directly
