product_id,name,category,price,width_cm,depth_cm,style,water_usage,water_unit,luxury_score,price_source,dimension_source,water_source,price_is_imputed,dimension_is_imputed,water_is_imputed
K048,"Engage™ Single-handle bathroom sink faucet, 10 lpm",Faucet,8800.0,14.05,17.14438151757045,Modern,10.0,L/min,1.16,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K049,"Engage™ Single-handle bathroom sink faucet, cold only, 12.5 lpm",Faucet,4400.0,14.05,14.248078409251917,Modern,12.5,L/min,1.06,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K050,"Avid™ Single-handle bathroom sink faucet, 7.0 lpm",Faucet,57800.0,14.05,18.23882233093295,Modern,7.0,L/min,1.3,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K051,"Fluence+™ Tall single-handle bathroom sink faucet, 10.0 lpm",Faucet,16100.0,14.05,14.33932053516912,Modern,10.0,L/min,1.13,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K052,"Fluence+™ Single-handle bathroom sink faucet, 10.0 lpm",Faucet,12800.0,14.05,14.054971664712129,Modern,10.0,L/min,1.0,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K053,"Evoke™ Touchless single-handle bathroom sink faucet, 6.0 lpm",Faucet,20600.0,14.05,16.59965077517695,Minimalist,6.0,L/min,6.03,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K054,"Aleo+™ Tall single-handle bathroom sink faucet, 14.0 lpm",Faucet,18850.0,14.05,14.607790001806398,Minimalist,14.0,L/min,4.33,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K055,"Aleo+™ Wall-mount bathroom sink faucet, 9.0 lpm",Faucet,26400.0,14.05,18.582863037908044,Minimalist,9.0,L/min,1.0,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K056,"APT™ Curv Single-handle bathroom sink faucet, cold only, 14.0 lpm",Faucet,2780.0,14.05,14.213466026612275,Modern,14.0,L/min,1.01,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K057,"APT™ Curv Single-handle bathroom sink faucet, 11.0 lpm",Faucet,5200.0,14.05,15.315488209961579,Modern,11.0,L/min,1.03,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K058,"Accliv™ Single-handle bathroom sink faucet, cold only, 15.0 lpm",Faucet,3520.0,14.05,14.128533784595142,Modern,15.0,L/min,1.08,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K059,"Components™ Single-handle bathroom sink faucet with Row spout and Oyl handle, 8.3 lpm",Faucet,39500.0,14.05,18.423079359866456,Minimalist,8.3,L/min,1.1,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K060,"APT™ Rectangular single-function showerhead, 9.5 lpm",Shower,3830.0,20.3,19.02056669444768,Modern,9.5,L/min,1.15,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K061,"APT™ Square single-function showerhead, 9.5 lpm",Shower,3620.0,20.3,18.968031407228157,Modern,9.5,L/min,1.18,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K062,"APT™ Round single-function showerhead, 9.1 lpm",Shower,2890.0,13.0,13.0,Modern,9.1,L/min,1.22,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K063,"Pristine™ Rectangular 25.4 cm single-function filtered rainhead, 12.0 lpm",Shower,12500.0,20.3,17.499025278314313,Minimalist,12.0,L/min,1.52,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K064,"Pristine™ Rectangular 20.3 cm single-function filtered showerhead, 12.0 lpm",Shower,6500.0,20.3,17.43094939951831,Minimalist,12.0,L/min,1.49,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K065,"Rainduet™ Single-function showerhead, 12.0 lpm",Shower,2050.0,20.3,17.35206660256383,Modern,12.0,L/min,3.16,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K066,"Rainduet™ Single-function showerhead, 17.4 lpm",Shower,3160.0,20.3,12.544952380770177,Organic,17.4,L/min,10.0,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K067,"Rainduet™ Round five-function showerhead, 13.5 lpm",Shower,4000.0,20.3,16.177673717793272,Minimalist,13.5,L/min,1.1,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K068,"Rainduet™ Five-function showerhead, 14.0 lpm",Shower,2350.0,20.3,15.859891895899581,Minimalist,14.0,L/min,1.06,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K069,"Awaken™ B110 Three-function showerhead, 7.6 lpm",Shower,6250.0,20.3,17.811753419502043,Organic,7.6,L/min,1.23,KOHLER India product page/catalogue,KNN / category-median imputation,KOHLER product specification,False,True,False
K070,"Complementary™ Single-function showerhead, 23.0 lpm",Shower,3420.0,9.7,9.7,Modern,23.0,L/min,1.25,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K071,"Complementary™ Single-function showerhead, 7.6 lpm",Shower,1350.0,9.7,9.7,Modern,7.6,L/min,1.45,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K072,"Statement™ Oblong 35.3 cm two-function rainhead, 9.5 lpm",Shower,80300.0,35.3,35.3,Luxury,9.5,L/min,5.0,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K073,"Statement™ Oblong 35.3 cm single-function rainhead, 9.5 lpm",Shower,52300.0,35.4,9.5,Luxury,9.5,L/min,5.0,KOHLER India product page/catalogue,KOHLER technical/catalogue,KOHLER product specification,False,False,False
K074,Foreward™ 75 cm wall-hung bathroom vanity cabinet,Vanity,71400.0,89.2,51.7,Organic,,,1.0,KOHLER India product page/catalogue,KNN / category-median imputation,Not applicable — vanity does not consume water directly,False,True,False
K075,Forefront™ 90 cm wall-hung bathroom vanity cabinet,Vanity,108150.0,89.2,51.7,Minimalist,,,7.54,KOHLER India product page/catalogue,KOHLER technical/catalogue,Not applicable — vanity does not consume water directly,False,False,False
K076,Luxe™ 90 cm wall-hung bathroom vanity cabinet,Vanity,121950.0,89.2,51.7,Luxury,,,10.0,KOHLER India product page/catalogue,KNN / category-median imputation,Not applicable — vanity does not consume water directly,False,True,False
K077,Prologue™ 75 cm wall-hung bathroom vanity cabinet,Vanity,116950.0,89.2,51.7,Minimalist,,,9.11,KOHLER India product page/catalogue,KNN / category-median imputation,Not applicable — vanity does not consume water directly,False,True,False
